No.;name;comment;price;sizes;availability;expiry;Visibility;Revise;category;image
#61038;PPEN037-R;Herzerl Lebkuchen mit Schlaufe;14,50€;22 mm;NEW;;visible;;314;/61038
#61037;PPEN043-R;Flotter Kaefer Lebkuchen mit Schlaufe;8,50€;13x13 mm;NEW;;visible;;314;/61037
#61028;PP3183A;Anker mit fester Öse;3,00€;Höhe 8mm;;;visible;;189;/61028
#61027;BP-B,11962,ASB;Armband mit Anker;23,50€;16,5+3cm;;;visible;;22,27,6;/61027
#61026;BP-B,11961,ASB;Armband mit Kreuz;23,50€;16,5+3cm;;;visible;;22,27,321,6;/61026
#61024;BP-B,11959,ASB;Armband mit Steuerrad;23,50€;16,5 + 3cm;;;visible;;22,27,6;/61024
#61023;ES1134-BALUER-OPAL;Segelboot Stecker mit Blauopal;6,75€;ø8mm;NEW;2023. 07. 15.;visible;;190,223;/61023
#61022;PP3199-GP;Anhänger Filigran mit Schlaufe, Goldplattiert (Set);6,75€;ø19mm;;;visible;;329;/61022
#61021;PP3199;Anhänger Filigran mit Schlaufe (Set);5,50€;ø: 19mm;;;visible;;329;/61021
#61020;EP2621-GP;Steuerrad Stecker;5,50€;ø7mm;NEW;2023. 03. 31.;visible;;#NV;/61020
#61019;EP1852-GP;Seil Creole;15,50€;35mm;;;visible;;#NV;/61019
#61018;PS1304-BLAUEROPAL;Antikstil Anhänger mir Blauopal;8,50€;ø13mm;;;visible;;223;/61018
#61017;PS1304-BALUEROPAL;Antikstil Anhänger mit Blauopal;7,50€;ø13mm;;;visible;;223;/61017
#61016;NP853;Collier mit Kugeln;17,75€;36-45cm;;;visible;;#NV;/61016
#61015;BPB12030-GP;Armband 3reihig;12,50€;16,5+3cm;;;visible;;22,27,6;/61015
#61014;BPB12030-GP,BEISPIEL;Armband 3reihig;12,50€;16,5+3cm;;;visible;;22,27,6;/61014
#61013;NP-C,10755,GP;Collier 3reihig;26,50€;40+5cm;;;visible;;#NV;/61013
#61012;NP-C,10755;Collier 3reihig;24,50€;40+5cm;;;visible;;#NV;/61012
#61011;BPB12030-BEISPIEL;Armband 3reihig;11,50€;16,5+3cm;;;visible;;22,27,6;/61011
#61010;BP-B,12030;Armband 3reihig;11,50€;16,5+3cm;;;visible;;22,27,6;/61010
#61009;BS346-PERLMUTT;Armband mit beidseitiger Perlmuttblume;14,25€;16,5+3cm;;;visible;;22,27,6;/61009
#61008;BS346-GP-PERLMUTT;Armband mit beidseitiger Perlmuttblume;18,25€;16,5+3cm;;;visible;;22,27,6;/61008
#61007;BS346BEISPIEL;Armband mit beidseitiger Perlmuttblume;18,25€;;;;visible;;22,27,6;/61007
#61006;RSN27-ONYX;Ovale Stein, filigran;9,00€;52,54,56,58,60,61;SALE;;visible;;306;/61006
#61005;PS1310-PERLMUTT;Perlmuttblume mit Schlaufe;9,50€;Höhe 14mm;;;visible;;#NV;/61005
#61004;PS1310-GP,PERLMUTT;Perlmuttblume mit Schlaufe;11,50€;Höhe 14mm;;;visible;;#NV;/61004
#61003;PS1306-LABRADORIT;Anhänger mit facettiertem Labradorit;8,50€;ø ca.8mm;;;visible;;#NV;/61003
#61002;PS1306-GRUNACHAT;Facettiert;8,50€;ø8mm;NEW;;visible;;#NV;/61002
#61001;PS1306-GP,LABRADORIT;Anhänger goldplattiert mit facettiertem Labradorit;9,50€;ø ca. 8mm;;;visible;;#NV;/61001
#61000;PS1306-GP,GRUENACHAT;Facettiert;9,50€;ø8mm;NEW;;visible;;#NV;/61000
#60999;PS1304-LAPIS;Anhänger antikstil Lapis;7,50€;ø13mm;NEW;;visible;;#NV;/60999
#60998;PS1304-GP,LAPIS;Anhänger antikstil mit Lapis;8,50€;;NEW;;visible;;#NV;/60998
#60997;PP3200;Pfote, Glanz, Anhänger mit Schlaufe (Set);4,50€;Höhe: ca.12mm;NEW;;visible;;347;/60997
#60996;PP3196;Delfin im Herzen mit Schlaufe;6,00€;Höhe 11mm;;;visible;;#NV;/60996
#60995;ES1138-MONDSTEIN;Facettiert;15,50€;ø8mm;NEW;;visible;;#NV;/60995
#60994;ES1138-LABRADORIT;Facettiert;15,50€;ø8mm;NEW;;visible;;#NV;/60994
#60993;ES1138-GP,MONDSTEIN;Facettiert;16,75€;ø8mm;NEW;;visible;;#NV;/60993
#60992;ES1138-GP,LABRADORIT;Facettiert;16,75€;ø8mm;NEW;;visible;;#NV;/60992
#60991;ES728-OPAL;Opal Stecker;8,50€;6mm;NEW;;visible;;223;/60991
#60990;ES728-BLAUER,OPAL;Blauer Opal Stecker;8,50€;6mm;NEW;;visible;;223;/60990
#60989;ES727-OPAL;Opal Stecker;6,75€;4mm;;;visible;;223;/60989
#60988;ES727-BLAUER,OPAL;Blauer Opal Stecker;6,75€;4mm;;;visible;;223;/60988
#60987;ES725-OPAL;Opal Stecker;5,50€;3mm;NEW;;visible;;223;/60987
#60986;ES725-BLAUER,OPAL;Blauer Opal Stecker;5,50€;3mm;NEW;;visible;;223;/60986
#60985;EP2638;Buddha im Kreis;5,00€;ø9mm;;;visible;;321;/60985
#60984;EP2637;Halbcreole Buddha;8,00€;ø9mm;;;visible;;321;/60984
#60983;EP2633-M;Navette Ohrstecker matt;5,25€;12mm;;;visible;;319;/60983
#60982;EP2633-GEB;Navette Ohrstecker;5,25€;12 mm;;;visible;;319;/60982
#60981;EP2633;Navette Ohrstecker;5,25€;12mm;;;visible;;319;/60981
#60980;EP2630;Möwe Ohrstecker;4,75€;11x4mm;NEW;2023. 03. 31.;visible;;#NV;/60980
#60978;EP2626-OXI;Seestern Ohrstecker;4,25€;Höhe 8mm;NEW;2023. 04. 21.;visible;;#NV;/60978
#60977;EP2626;Seestern Ohrstecker;4,25€;Höhe 8mm;NEW;2023. 04. 28.;visible;;#NV;/60977
#60976;EP2623-GP;Muschel Ohrstecker;6,00€;Höhe 7mm;NEW;2023. 03. 31.;visible;;#NV;/60976
#60975;EP2623;Muschel Ohrstecker;5,00€;Höhe 7mm;NEW;2023. 03. 31.;visible;;#NV;/60975
#60974;EP2622;Welle Ohrstecker;4,25€;4x10mm;NEW;2023. 03. 31.;visible;;#NV;/60974
#60973;EP2621;Steuerrad Ohrstecker;4,75€;ø7mm;NEW;2023. 03. 31.;visible;;#NV;/60973
#60972;EH184;Klappcreole;16,75€;15x6mm;;;visible;;#NV;/60972
#60971;BS350-PERLMUTT;Kugelarmband mit Perlmuttblume;14,00€;62 Kugeln á ca. 3mm, elastisch;;;visible;;22,27,6;/60971
#60970;BS350-ONYX;Kugelarmband mit Onyxblume;13,50€;62 Kugeln á ca. 3mm, elastisch;;;visible;;22,27,6;/60970
#60968;EP2540-GP;Würfel;5,75€;4mm;;;visible;;319;/60968
#60967;NS-C,10623;Kette Mit Kleeblatt und Stein;10,50€;38+5cm;;;visible;;#NV;/60967
#60966;NS-C,10622;Kette mit Stern und Stein;10,50€;38+5cm;;;visible;;#NV;/60966
#60962;NP871;beidseitig tragbar glanz/gebürstet;12,50€;42+3cm;NEW;2023. 03. 31.;visible;;#NV;/60962
#60961;NP864ST;Kette mit diamantierten Plättchen;17,75€;36-43cm;;;visible;;319;/60961
#60959;NP854;Kette mit gebürsteten Tropfen;16,50€;36-43cm;NEW;2023. 03. 31.;visible;;#NV;/60959
#60957;BSI-2-Mondstein;Armband mit 9 ovalen Mondsteinen;24,50€;16,5+3cm;;;visible;;22,27,6;/60957
#60956;BS-B,12004-GP;Stern;14,50€;16,5+3cm;;;visible;;22,27,6;/60956
#60955;BS-B,12004;Armband mit Sternen und Stein;12,50€;16,5+3cm;;;visible;;22,27,6;/60955
#60954;BS-B,11937;Armband mit Sternen und Steinen;14,50€;15,5+3cm;;;visible;;22,27,6;/60954
#60953;BP-SCH,976;Armband dreireihig;29,50€;Freesize dehnbar;;;visible;;22,27,6;/60953
#60952;BP-B,11962;Armband mit Anker;22,50€;16,5+3cm;;;visible;;22,27,6;/60952
#60951;NS152-GP;Collier mit Nordsternen und Stein;22,50€;42+3cm;;;visible;;#NV;/60951
#60950;NS-C,10622,GP;Ankerkette mit Stern und Stein;12,50€;38+5cm;;;visible;;#NV;/60950
#60949;NS-C,10623-GP;Ankerkette mit Kleeblatt und Stein;12,50€;38+5cm;;;visible;;#NV;/60949
#60947;NS157-GP;Collier mit beidseitigen Perlmuttblumen;33,50€;42+3cm;;;visible;;#NV;/60947
#60946;NP-C-10558-GP;Collier mit Plättchen, Goldplattiert;16,75€;40+5cm;SOLD OUT;;hidden;;#NV;/60946
#60944;NP-C,10697;Collier mit Kreisen und Plättchen;24,50€;40+5cm;BACK IN;;visible;;#NV;/60944
#60940;BS347-GP;Armband mit beidseitigen Perlmuttblumen;25,50€;16,5+3cm;;;visible;;22,27,6;/60940
#60939;BS347;Armband mit beidseitigen Perlmuttblumen;22,50€;16,5+3cm;;;visible;;22,27,6;/60939
#60938;BP-B,11978;Armband 4reihig;10,50€;16,5 + 3cm;;;visible;;22,27,6;/60938
#60936;BP-B,11979,GP;Armband 4reihig;9,50€;16,5+3cm;;;visible;;22,27,6;/60936
#60934;BP-B,11979;Armband 4reihig;8,50€;16,5+3cm;;;visible;;22,27,6;/60934
#60930;BP-B,12027-GP,BEISPIEL;Armband 4reihig;15,75€;16,5+3cm;;;visible;;22,27,6;/60930
#60929;BP-B,12027-GP;Armband 4reihig;15,75€;16,5+3cm;;;visible;;22,27,6;/60929
#60928;BP-B,12027-BEISPIEL;Armband 4reihig;14,50€;16,5+3cm;;;visible;;22,27,6;/60928
#60927;BP-B,12027;Armband 4reihig;14,50€;16,5+3cm;;;visible;;22,27,6;/60927
#60926;BP-B,11901;Armband mit Plättchen;10,00€;15,5+3cm;SALE;;visible;;228,22,27,6;/60926
#60925;RP1383;Delfin im Herzen;10,50€;52,54,56,58,60,62;;;visible;;#NV;/60925
#60924;PS1308;Kreuz handgefasst mit Steinen und Schlaufe;7,75€;21x15mm;;;visible;;321;/60924
#60923;PS1108B;Seestern mit Zirkonia und Schlaufe;10,25€;ca. 15x15 mm;;;visible;;#NV;/60923
#60921;PPMD3998-ASB;Antique Silver Brushed Delfin, Anhänger mit Schlaufe (Sale);7,50€;16x22mm;SALE;;visible;;347;/60921
#60920;PPMD3990-ASB;Antique Silver Brushed Schildkröte, Anhänger mit Schlaufe (Sale);9,50€;22mm;SALE;;visible;;347;/60920
#60919;PP3201;Seepferd beidseitig mit Schlaufe;6,00€;Höhe 20mm;NEW;;visible;;347;/60919
#60918;PP3178;Kreis mit offener Welle, Glanz, Anhänger mit Schlaufe (Set);5,75€;ø20mm;NEW;;visible;;323;/60918
#60917;PP2576-GP;Glaube-Liebe-Hoffnung = Kreuz-Herz-Anker mit Festöse, Goldplattiert;5,00€;Höhe 20mm;;;visible;;189;/60917
#60914;ES1135;Seepferd Ohrstecker mit grünen Steinen;5,00€;Höhe 10mm;NEW;;visible;;#NV;/60914
#60913;EP2632-GP;Runde Ohrringe mit Kügelchen;15,50€;ø20mm;NEW;2023. 03. 31.;visible;;#NV;/60913
#60912;EP2632;Runde Ohrringe mit Kügelchen;12,75€;ø20mm;NEW;2023. 04. 21.;visible;;#NV;/60912
#60911;EP2625;Anker Ohrstecker glänzend;3,75€;Höhe 7mm;NEW;2023. 03. 31.;visible;;#NV;/60911
#60910;EP2618-GEB;Pendulum Ohrstecker gebürstet;6,00€;12x10mm;;;visible;;319;/60910
#60909;EP2408;Ohrstecker Blume;5,25€;11x11mm;;;visible;;#NV;/60909
#60908;ES695ST-GREY;Kristall Ohrhänger;2,00€;Ø: ca.10mm;SALE;;visible;;228,303;/60908
#60907;BS-B,11937,GP;Stern;15,50€;15,5+3cm;;;visible;;22,27,6;/60907
#60906;BP-B,11963,GP;Armband;21,75€;16,5+3cm;;;visible;;22,27,6;/60906
#60905;BP-B,11963,ASB;Antique Silver Brushed Armband;23,50€;16,5+3cm;;;visible;;22,27,6;/60905
#60904;BP-B,11810,GP;Armband mit Plättchen und Kugeln;10,50€;16,5+3cm;;;visible;;22,27,6;/60904
#60903;BP-B,12015;Armband mit diamantierten Kreisen und Plättchen;15,50€;15,5+3cm;;;visible;;22,27,6;/60903
